Term,Definition,Part of Speech,Gender,Whence
actor(ion),actor(s),noun,masculine,Unit 8
actores(au),actor(s),noun,feminine,Unit 8
adolygu,"to revise, to review",verb,,Unit 8
allan,out,other,,Unit 8
ar gael,available,other,,Unit 8
athrawes(au),teacher(s),noun,feminine,Unit 8
athro (athrawon),teacher(s),noun,masculine,Unit 8
benthyg,"to borrow, to lend",verb,,Unit 8
cadw,"to keep, to reserve",verb,,Unit 8
camera (camerâu),camera(s),noun,masculine,Unit 8
cogydd(ion),"chef(s), cook(s)",noun,masculine,Unit 8
cyngerdd (cyngherddau),concert(s),noun,masculine,Unit 8
derbynnydd,receptionist,noun,masculine,Unit 8
drama (dramâu),"drama, play(s)",noun,feminine,Unit 8
ffatri (ffatrïoedd),factory (factories),noun,feminine,Unit 8
fflat(iau),flat(s),noun,feminine,Unit 8
ffonio,to phone,verb,,Unit 8
gofyn,to ask,verb,,Unit 8
gorsaf(oedd),station(s),noun,feminine,Unit 8
gwesty (gwestai),hotel(s),noun,masculine,Unit 8
hogan (genod),girl(s),noun,feminine,Unit 8
hogyn (hogiau),boy(s),noun,masculine,Unit 8
maes parcio,car park,noun,masculine,Unit 8
meddyg(on),doctor(s),noun,masculine,Unit 8
mewn,in a,other,,Unit 8
munud(au),minute(s),noun,masculine,Unit 8
nyrs(ys),nurse(s),noun,feminine,Unit 8
pennaeth,head (person),noun,masculine,Unit 8
plismon (plismyn),policeman (policemen),noun,masculine,Unit 8
pobol,people,noun,feminine,Unit 8
rheolwr (rheolwyr),manager(s),noun,masculine,Unit 8
rheolwraig,mananger,noun,feminine,Unit 8
rhywun,someone,noun,masculine,Unit 8
siarad,to talk,verb,,Unit 8
talu,to pay,verb,,Unit 8
tocyn(nau),ticket(s),noun,masculine,Unit 8
