Term,Definition,Part of Speech,Gender,Whence
awr (oriau),hour(s),noun,feminine,Unit 7
blin,angry,adjective,,Unit 7
ceiniog(au),penny (pennies),noun,feminine,Unit 7
clên,"nice, friendly",adjective,,Unit 7
codi,"to get up, to lift",verb,,Unit 7
cynta,first,adjective,,Unit 7
drud,expensive,adjective,,Unit 7
enwog,famous,adjective,,Unit 7
faint?,how much? how many?,other,,Unit 7
ffasiwn,fashion,noun,masculine,Unit 7
ffeindio,to find,verb,,Unit 7
ffermwr (ffermwyr),farmer(s),noun,masculine,Unit 7
gwirion,silly,adjective,,Unit 7
hen,old,adjective,,Unit 7
hwyr,late,adjective,,Unit 7
mab (meibion),son(s),noun,masculine,Unit 7
merch(ed),"girl(s), daughter(s)",noun,feminine,Unit 7
nesa,next,adjective,,Unit 7
oed,age (of person),noun,masculine,Unit 7
o’r gloch,o’clock,other,,Unit 7
pen-blwydd (penblwyddi),birthday(s),noun,masculine,Unit 7
postmon (postmyn),(postmen) postman,noun,masculine,Unit 7
pres,money; brass,noun,masculine,Unit 7
rhad,cheap,adjective,,Unit 7
rhew,ice,noun,masculine,Unit 7
stryd(oedd),street(s),noun,feminine,Unit 7
trist,sad,adjective,,Unit 7
tŷ bwyta (tai bwyta),restaurant(s),noun,masculine,Unit 7
