Term,Definition,Part of Speech,Gender,Whence
amser,time,noun,masculine,Unit 5
banc(iau),bank(s),noun,masculine,Unit 5
brecwast(au),breakfast(s),noun,masculine,Unit 5
cartref(i),a home (homes),noun,masculine,Unit 5
clwb (clybiau),club(s),noun,masculine,Unit 5
coginio,to cook,verb,,Unit 5
ddoe,yesterday,other,,Unit 5
diwetha,last (previous),adjective,,Unit 5
edrych ar,to look at,verb,,Unit 5
eglwys(i),church(es),noun,feminine,Unit 5
garddio,to garden,verb,,Unit 5
golchi,to wash,verb,,Unit 5
gyda’r nos,in the evening,other,,Unit 5
llestr(i),dish(es),noun,masculine,Unit 5
llyfr(au),book(s),noun,masculine,Unit 5
llyfrgell(oedd),library,noun,feminine,Unit 5
lolfa,lounge,noun,feminine,Unit 5
neithiwr,last night,other,,Unit 5
parc(iau),park(s),noun,masculine,Unit 5
rygbi,rugby,noun,masculine,Unit 5
stamp(iau),stamp(s),noun,masculine,Unit 5
swper,supper,noun,masculine,Unit 5
swyddfa bost,a post office,noun,feminine,Unit 5
tafarn(au),pub(s),noun,feminine,Unit 5
wedyn,afterwards,other,,Unit 5
ymlacio,to relax,verb,,Unit 5
ymolchi,to wash (oneself),verb,,Unit 5
ysbyty (ysbytai),hospital(s),noun,masculine,Unit 5
ysgol(ion),school(s),noun,feminine,Unit 5
