Term,Definition,Part of Speech,Gender,Whence
ar,on,other,,Unit 2
be?/beth?,what?,other,,Unit 2
bendigedig,fantastic,adjective,,Unit 2
bod,to be,verb,,Unit 2
bwyd,food,noun,masculine,Unit 2
bwyta,to eat,verb,,Unit 2
cacen(nau),cake(s),noun,feminine,Unit 2
canu,to sing,verb,,Unit 2
caws,cheese,noun,masculine,Unit 2
cerdyn (cardiau),card(s),noun,masculine,Unit 2
chwaith,either,other,,Unit 2
chwarae,to play,verb,,Unit 2
cig(oedd),meat(s),noun,masculine,Unit 2
coch,red,adjective,,Unit 2
coffi(s),coffee(s),noun,masculine,Unit 2
criced,cricket,noun,masculine,Unit 2
dawnsio,to dance,verb,,Unit 2
dillad,clothes,noun,masculine,Unit 2
dim,not; nothing; zero,other,,Unit 2
dydd(iau),day(s),noun,masculine,Unit 2
golff,golf,noun,masculine,Unit 2
gweithio,to work,verb,,Unit 2
gweld,to see,verb,,Unit 2
gwin,wine,noun,masculine,Unit 2
gwneud,"to do, to make",verb,,Unit 2
gwyn,white,adjective,,Unit 2
hefyd,also,other,,Unit 2
heno,tonight,other,,Unit 2
hoci,hockey,noun,masculine,Unit 2
hoffi,to like,verb,,Unit 2
licio,to like,verb,,Unit 2
llefrith/llaeth,milk,noun,masculine,Unit 2
mynd,to go,verb,,Unit 2
mynd am dro,to go for a walk,other,,Unit 2
neis,nice,adjective,,Unit 2
newydd,new,adjective,,Unit 2
papur newydd,newspaper,noun,masculine,Unit 2
pryd?,when?,other,,Unit 2
prynu,to buy,verb,,Unit 2
pêl (peli),ball(s),noun,feminine,Unit 2
pêl-droed,football,noun,masculine,Unit 2
radio,radio,noun,masculine,Unit 2
siocled(i),chocolate(s),noun,masculine,Unit 2
siopa,to shop,verb,,Unit 2
siwgr,sugar,noun,masculine,Unit 2
siŵr,sure,adjective,,Unit 2
smwddio,to iron,verb,,Unit 2
teledu,television,noun,masculine,Unit 2
tennis,tennis,noun,masculine,Unit 2
tiwtor(iaid),tutor(s),noun,masculine,Unit 2
tost,toast,noun,masculine,Unit 2
wrth gwrs,of course,other,,Unit 2
wythnos(au),week(s),noun,feminine,Unit 2
ych a fi,yuck,other,,Unit 2
yfed,to drink,verb,,Unit 2
yfory,tomorrow,other,,Unit 2
ymddeol,to retire,verb,,Unit 2
