Term,Definition,Part of Speech,Gender,Whence
arall,"other, else",other,,Unit 3
blodyn (blodau),flower(s),noun,masculine,Unit 3
cael,to have,verb,,Unit 3
caffi(s),café(s),noun,masculine,Unit 3
clywed,to hear,verb,,Unit 3
dallt / deall,to understand,verb,,Unit 3
diod(ydd),drink(s),noun,feminine,Unit 3
dyma,"here is, this is",other,,Unit 3
dŵr,water,noun,masculine,Unit 3
ffôn (ffonau),phone(s),noun,masculine,Unit 3
finegr,vinegar,noun,masculine,Unit 3
gwaith,work,noun,masculine,Unit 3
halen,salt,noun,masculine,Unit 3
hufen iâ,ice cream,noun,masculine,Unit 3
isio / eisiau,to want,verb,,Unit 3
nofio,to swim,verb,,Unit 3
os gwelwch chi’n dda,please,other,,Unit 3
punt (punnoedd),pound(s) (money),noun,feminine,Unit 3
pysgodyn (pysgod),fish(es),noun,masculine,Unit 3
rhywbeth,something,noun,masculine,Unit 3
rhywbeth arall,something else,other,,Unit 3
sglodion,chips,noun,masculine,Unit 3
swydd(i),job(s),noun,feminine,Unit 3
te,tea,noun,masculine,Unit 3
tŷ (tai),house(s),noun,masculine,Unit 3
