Term,Definition,Part of Speech,Gender,Whence
Cymraeg,Welsh,noun,feminine,Unit 1
a,and,other,,Unit 1
bore(au),morning(s),noun,masculine,Unit 1
byw,to live,verb,,Unit 1
car (ceir),car(s),noun,masculine,Unit 1
chi,you,other,,Unit 1
croeso,welcome,noun,masculine,Unit 1
da,good,adjective,,Unit 1
darllen,to read,verb,,Unit 1
diolch,thanks,other,,Unit 1
dosbarth(iadau),class(es),noun,masculine,Unit 1
dyna pam,that’s why,other,,Unit 1
dysgu,"to learn, to teach",verb,,Unit 1
efo,with,other,,Unit 1
enw(au),name(s),noun,masculine,Unit 1
eto,again,other,,Unit 1
fi,me,other,,Unit 1
gwylio,to watch,verb,,Unit 1
gyrru,to drive,verb,,Unit 1
heddiw,today,other,,Unit 1
heddlu,police,noun,masculine,Unit 1
hwyl!,bye!,other,,Unit 1
i,to; for,other,,Unit 1
iawn,"ok, very",other,,Unit 1
lle?,where?,other,,Unit 1
nos,night,noun,feminine,Unit 1
noswaith,evening,noun,feminine,Unit 1
ofnadwy,terrible,adjective,,Unit 1
ond,but,other,,Unit 1
paned,cuppa,noun,feminine,Unit 1
pawb,everybody,other,,Unit 1
pinc,pink,adjective,,Unit 1
problem(au),problem(s),noun,feminine,Unit 1
pwy?,who?,other,,Unit 1
p’nawn(iau),afternoon(s),noun,masculine,Unit 1
rhaglen(ni),programme(s),noun,feminine,Unit 1
rhif(au),number(s),noun,masculine,Unit 1
rŵan,now,other,,Unit 1
stopio,to stop,verb,,Unit 1
sut?,how?,other,,Unit 1
ti,you,other,,Unit 1
uned(au),unit(s),noun,feminine,Unit 1
wedi blino,tired,adjective,,Unit 1
yma,here,other,,Unit 1
yn,in,other,,Unit 1
