Term,Definition,Part of Speech,Gender,Unit
llyfrgell(oedd),library,noun,feminine,5
lolfa,lounge,noun,feminine,5
mab (meibion),son(s),noun,masculine,7
maes parcio,car park,noun,masculine,8
mawr,big,adjective,,6
meddyg(on),doctor(s),noun,masculine,8
medru,to be able to,verb,,6
merch(ed),"girl(s), daughter(s)",noun,feminine,7
mewn,in a,other,,8
munud(au),minute(s),noun,masculine,8
mynd,to go,verb,,2
mynd am dro,to go for a walk,other,,2
nabod,"to know, to recognise",verb,,4
neis,nice,adjective,,2
neithiwr,last night,other,,5
nesa,next,adjective,,7
neuadd(au),hall(s),noun,feminine,6
newydd,new,adjective,,2
nofio,to swim,verb,,3
nos,night,noun,feminine,1
noswaith,evening,noun,feminine,1
nyrs(ys),nurse(s),noun,feminine,8
oed,age (of person),noun,masculine,7
oer,cold,adjective,,6
ofnadwy,terrible,adjective,,1
ond,but,other,,1
os gwelwch chi’n dda,please,other,,3
o’r gloch,o’clock,other,,7
pam?,why?,other,,6
pan,when,other,,4
paned,cuppa,noun,feminine,1
papur newydd,newspaper,noun,masculine,2
parc(iau),park(s),noun,masculine,5
pawb,everybody,other,,1
pen-blwydd (penblwyddi),birthday(s),noun,masculine,7
pennaeth,head (person),noun,masculine,8
penwythnos(au),weekend(s),noun,masculine,4
pinc,pink,adjective,,1
plismon (plismyn),policeman (policemen),noun,masculine,8
pob,every,other,,4
pob lwc,good luck,other,,4
pobol,people,noun,feminine,8
poeth,hot,adjective,,6
postmon (postmyn),(postmen) postman,noun,masculine,7
pres,money; brass,noun,masculine,7
problem(au),problem(s),noun,feminine,1
pryd?,when?,other,,2
prynu,to buy,verb,,2
prysur,busy,adjective,,6
punt (punnoedd),pound(s) (money),noun,feminine,3
pwy?,who?,other,,1
pwysig,important,adjective,,6
pysgodyn (pysgod),fish(es),noun,masculine,3
pêl (peli),ball(s),noun,feminine,2
pêl-droed,football,noun,masculine,2
p’nawn(iau),afternoon(s),noun,masculine,1
radio,radio,noun,masculine,2
rhad,cheap,adjective,,7
rhaglen(ni),programme(s),noun,feminine,1
rhedeg,to run,verb,,6
rheolwr (rheolwyr),manager(s),noun,masculine,8
rheolwraig,mananger,noun,feminine,8
rhew,ice,noun,masculine,7
rhif(au),number(s),noun,masculine,1
rhywbeth,something,noun,masculine,3
rhywbeth arall,something else,other,,3
rhywle,somewhere,other,,6
rhywun,someone,noun,masculine,8
rygbi,rugby,noun,masculine,5
rŵan,now,other,,1
sglodion,chips,noun,masculine,3
siarad,to talk,verb,,8
sinema (sinemâu),cinema(s),noun,masculine,4
siocled(i),chocolate(s),noun,masculine,2
siop(au),shop(s),noun,feminine,4
siopa,to shop,verb,,2
siwgr,sugar,noun,masculine,2
siŵr,sure,adjective,,2
smwddio,to iron,verb,,2
stamp(iau),stamp(s),noun,masculine,5
stopio,to stop,verb,,1
stormus,stormy,adjective,,6
stryd(oedd),street(s),noun,feminine,7
sut?,how?,other,,1
swnllyd,noisy,adjective,,6
swper,supper,noun,masculine,5
swydd(i),job(s),noun,feminine,3
swyddfa bost,a post office,noun,feminine,5
sych,dry,adjective,,6
tafarn(au),pub(s),noun,feminine,5
talu,to pay,verb,,8
te,tea,noun,masculine,3
teledu,television,noun,masculine,2
tennis,tennis,noun,masculine,2
teulu(oedd),family (families),noun,masculine,6
theatr(au),theatre(s),noun,feminine,4
ti,you,other,,1
tiwtor(iaid),tutor(s),noun,masculine,2
tocyn(nau),ticket(s),noun,masculine,8
torri lawr,to break down,verb,,6
tost,toast,noun,masculine,2
traeth(au),beach(es),noun,masculine,6
tref(i),town(s),noun,feminine,4
trist,sad,adjective,,7
trên (trenau),train(s),noun,masculine,6
tua,about,other,,6
tudalen(nau),page(s),noun,feminine,4
tywydd,weather,noun,masculine,6
tîm (timau),team(s),noun,masculine,4
tŷ (tai),house(s),noun,masculine,3
tŷ bwyta (tai bwyta),restaurant(s),noun,masculine,7
uned(au),unit(s),noun,feminine,1
wedi blino,tired,adjective,,1
wedyn,afterwards,other,,5
weithiau,sometimes,other,,4
wir,indeed,other,,4
wrth gwrs,of course,other,,2
wythnos(au),week(s),noun,feminine,2
ych a fi,yuck,other,,2
yfed,to drink,verb,,2
yfory,tomorrow,other,,2
yma,here,other,,1
ymddeol,to retire,verb,,2
ymlacio,to relax,verb,,5
ymolchi,to wash (oneself),verb,,5
yn,in,other,,1
yno,there,other,,4
ysbyty (ysbytai),hospital(s),noun,masculine,5
ysgol(ion),school(s),noun,feminine,5
‘ta,or; then,other,,4
