Term,Definition,Part of Speech,Gender,Whence
Abertawe,Swansea,noun,feminine,Unit 4
Caerdydd,Cardiff,noun,feminine,Unit 4
Cymru,Wales,noun,feminine,Unit 4
Iwerddon,Ireland,noun,feminine,Unit 4
Lloegr,England,noun,feminine,Unit 4
Llundain,London,noun,feminine,Unit 4
Nadolig,Christmas,noun,masculine,Unit 4
Yr Alban,Scotland,noun,feminine,Unit 4
a deud y gwir,to tell the truth,other,,Unit 4
adre,home,other,,Unit 4
amgueddfa (amgueddfeydd),museum(s),noun,feminine,Unit 4
aml,often,adjective,,Unit 4
aros,"to stay, to wait",verb,,Unit 4
bach,small,adjective,,Unit 4
beic(iau),bike(s),noun,masculine,Unit 4
byd,world,noun,masculine,Unit 4
cerdded,to walk,verb,,Unit 4
cofio,to remember,verb,,Unit 4
deud,"to say, to tell",verb,,Unit 4
dros,over,other,,Unit 4
dyn(ion),man (men),noun,masculine,Unit 4
dyna,there is,other,,Unit 4
dŵad,to come,verb,,Unit 4
gan,"by, from (a person)",other,,Unit 4
gwely(au),bed(s),noun,masculine,Unit 4
gwlad (gwledydd),country (countries),noun,feminine,Unit 4
gwreiddiol,original,adjective,,Unit 4
gwyliau,holiday(s),noun,feminine,Unit 4
gêm (gemau),"game(s), match(es)",noun,feminine,Unit 4
hedfan,to fly,verb,,Unit 4
helpu,to help,verb,,Unit 4
nabod,"to know, to recognise",verb,,Unit 4
pan,when,other,,Unit 4
penwythnos(au),weekend(s),noun,masculine,Unit 4
pob,every,other,,Unit 4
pob lwc,good luck,other,,Unit 4
sinema (sinemâu),cinema(s),noun,masculine,Unit 4
siop(au),shop(s),noun,feminine,Unit 4
theatr(au),theatre(s),noun,feminine,Unit 4
tref(i),town(s),noun,feminine,Unit 4
tudalen(nau),page(s),noun,feminine,Unit 4
tîm (timau),team(s),noun,masculine,Unit 4
weithiau,sometimes,other,,Unit 4
wir,indeed,other,,Unit 4
yno,there,other,,Unit 4
‘ta,or; then,other,,Unit 4
